num_relations,num_threshold_values,num_decimal_pos,query_graph_type,sample_index,num_phys_qubits
8,1,0,CHAIN,9,756
8,1,0,CHAIN,10,689
8,1,0,CHAIN,11,693
8,1,0,CHAIN,12,803
8,1,0,CHAIN,13,804
8,1,0,CHAIN,14,761
8,1,0,CHAIN,15,694
8,1,0,CHAIN,16,747
8,1,0,CHAIN,17,719
8,1,0,CHAIN,18,728
8,1,0,CHAIN,19,701
8,1,0,STAR,0,697
8,1,0,STAR,1,694
8,1,0,STAR,2,714
8,1,0,STAR,3,712
8,1,0,STAR,4,763
8,1,0,STAR,5,707
8,1,0,STAR,6,787
8,1,0,STAR,7,731
8,1,0,STAR,8,717
8,1,0,STAR,9,838
8,1,0,STAR,10,724
8,1,0,STAR,11,660
8,1,0,STAR,12,751
8,1,0,STAR,13,694
8,1,0,STAR,14,676
8,1,0,STAR,15,749
8,1,0,STAR,16,724
8,1,0,STAR,17,738
8,1,0,STAR,18,738
8,1,0,STAR,19,699
8,1,0,CYCLE,0,792
8,1,0,CYCLE,1,743
8,1,0,CYCLE,2,758
8,1,0,CYCLE,3,762
8,1,0,CYCLE,4,783
8,1,0,CYCLE,5,717
8,1,0,CYCLE,6,806
8,1,0,CYCLE,7,685
8,1,0,CYCLE,8,700
8,1,0,CYCLE,9,743
8,1,0,CYCLE,10,751
8,1,0,CYCLE,11,745
8,1,0,CYCLE,12,778
8,1,0,CYCLE,13,731
8,1,0,CYCLE,14,711
8,1,0,CYCLE,15,726
8,1,0,CYCLE,16,768
8,1,0,CYCLE,17,774
8,1,0,CYCLE,18,791
8,1,0,CYCLE,19,811
8,1,2,CHAIN,0,1176
8,1,2,CHAIN,1,1116
8,1,2,CHAIN,2,1084
8,1,2,CHAIN,3,1139
8,1,2,CHAIN,4,1195
8,1,2,CHAIN,5,1089
8,1,2,CHAIN,6,1087
8,1,2,CHAIN,7,1111
8,1,2,CHAIN,8,1220
8,1,2,CHAIN,9,1076
8,1,2,CHAIN,10,1154
8,1,2,CHAIN,11,1137
8,1,2,CHAIN,12,1150
8,1,2,CHAIN,13,1121
8,1,2,CHAIN,14,1162
8,1,2,CHAIN,15,1203
8,1,2,CHAIN,16,1080
8,1,2,CHAIN,17,1067
8,1,2,CHAIN,18,1148
8,1,2,CHAIN,19,1170
8,1,2,STAR,0,1292
8,1,2,STAR,1,1221
8,1,2,STAR,2,1102
8,1,2,STAR,3,1150
8,1,2,STAR,4,1106
8,1,2,STAR,5,1159
8,1,2,STAR,6,1152
8,1,2,STAR,7,1197
8,1,2,STAR,8,1192
8,1,2,STAR,9,1159
8,1,2,STAR,10,1180
8,1,2,STAR,11,1173
8,1,2,STAR,12,1191
8,1,2,STAR,13,1145
8,1,2,STAR,14,1144
8,1,2,STAR,15,1172
8,1,2,STAR,16,1258
8,1,2,STAR,17,1120
8,1,2,STAR,18,1238
8,1,2,STAR,19,1153
8,1,2,CYCLE,0,1301
8,1,2,CYCLE,1,1157
8,1,2,CYCLE,2,1155
8,1,2,CYCLE,3,1251
8,1,2,CYCLE,4,1268
8,1,2,CYCLE,5,1210
8,1,2,CYCLE,6,1161
8,1,2,CYCLE,7,1186
8,1,2,CYCLE,8,1194
8,1,2,CYCLE,9,1286
8,1,2,CYCLE,10,1157
8,1,2,CYCLE,11,1258
8,1,2,CYCLE,12,1313
8,1,2,CYCLE,13,1243
8,1,2,CYCLE,14,1190
8,1,2,CYCLE,15,1122
8,1,2,CYCLE,16,1174
8,1,2,CYCLE,17,1343
8,1,2,CYCLE,18,1316
8,1,2,CYCLE,19,1182
8,1,4,CHAIN,0,1489
8,1,4,CHAIN,1,1586
8,1,4,CHAIN,2,1517
8,1,4,CHAIN,3,1499
8,1,4,CHAIN,4,1517
8,1,4,CHAIN,5,1567
8,1,4,CHAIN,6,1573
8,1,4,CHAIN,7,1536
8,1,4,CHAIN,8,1469
8,1,4,CHAIN,9,1527
8,1,4,CHAIN,10,1542
8,1,4,CHAIN,11,1508
8,1,4,CHAIN,12,1524
8,1,4,CHAIN,13,1503
8,1,4,CHAIN,14,1559
8,1,4,CHAIN,15,1582
8,1,4,CHAIN,16,1591
8,1,4,CHAIN,17,1550
8,1,4,CHAIN,18,1599
8,1,4,CHAIN,19,1598
8,1,4,STAR,0,1475
8,1,4,STAR,1,1556
8,1,4,STAR,2,1492
8,1,4,STAR,3,1492
8,1,4,STAR,4,1540
8,1,4,STAR,5,1522
8,1,4,STAR,6,1592
8,1,4,STAR,7,1587
8,1,4,STAR,8,1749
8,1,4,STAR,9,1513
8,1,4,STAR,10,1557
8,1,4,STAR,11,1605
8,1,4,STAR,12,1547
8,1,4,STAR,13,1613
8,1,4,STAR,14,1569
8,1,4,STAR,15,1470
8,1,4,STAR,16,1578
8,1,4,STAR,17,1546
8,1,4,STAR,18,1530
8,1,4,STAR,19,1498
8,1,4,CYCLE,0,1518
8,1,4,CYCLE,1,1594
8,1,4,CYCLE,2,1707
8,1,4,CYCLE,3,1565
8,1,4,CYCLE,4,1627
8,1,4,CYCLE,5,1563
8,1,4,CYCLE,6,1688
8,1,4,CYCLE,7,1588
8,1,4,CYCLE,8,1695
8,1,4,CYCLE,9,1685
8,1,4,CYCLE,10,1581
8,1,4,CYCLE,11,1660
8,1,4,CYCLE,12,1788
8,1,4,CYCLE,13,1812
8,1,4,CYCLE,14,1640
8,1,4,CYCLE,15,1611
8,1,4,CYCLE,16,1538
8,1,4,CYCLE,17,1588
8,1,4,CYCLE,18,1647
8,1,4,CYCLE,19,1702
8,2,0,CHAIN,0,864
8,2,0,CHAIN,1,932
8,2,0,CHAIN,2,877
8,2,0,CHAIN,3,898
8,2,0,CHAIN,4,912
8,2,0,CHAIN,5,857
8,2,0,CHAIN,6,877
8,2,0,CHAIN,7,898
8,2,0,CHAIN,8,907
8,2,0,CHAIN,9,981
8,2,0,CHAIN,10,849
8,2,0,CHAIN,11,859
8,2,0,CHAIN,12,892
8,2,0,CHAIN,13,937
8,2,0,CHAIN,14,888
8,2,0,CHAIN,15,842
8,2,0,CHAIN,16,892
8,2,0,CHAIN,17,824
8,2,0,CHAIN,18,839
8,2,0,CHAIN,19,809
8,2,0,STAR,0,859
8,2,0,STAR,1,853
8,2,0,STAR,2,879
8,2,0,STAR,3,868
8,2,0,STAR,4,858
8,2,0,STAR,5,848
8,2,0,STAR,6,904
8,2,0,STAR,7,891
8,2,0,STAR,8,854
8,2,0,STAR,9,984
8,2,0,STAR,10,890
8,2,0,STAR,11,857
8,2,0,STAR,12,952
8,2,0,STAR,13,941
8,2,0,STAR,14,844
8,2,0,STAR,15,847
8,2,0,STAR,16,933
